{first_ts=37000, cou=1, last_ts=38000, value=37.0, key=356}
{first_ts=37000, cou=1, last_ts=38000, value=41.0, key=214}
{first_ts=37000, cou=1, last_ts=38000, value=36.0, key=330}
{first_ts=35000, cou=3, last_ts=38000, value=50.0, key=122}
{first_ts=37000, cou=1, last_ts=38000, value=37.0, key=176}
{first_ts=36000, cou=2, last_ts=38000, value=47.0, key=184}
{first_ts=37000, cou=1, last_ts=38000, value=40.0, key=333}
{first_ts=36000, cou=2, last_ts=38000, value=42.0, key=160}
{first_ts=38000, cou=1, last_ts=39000, value=40.0, key=338}
{first_ts=36000, cou=3, last_ts=39000, value=43.0, key=141}
{first_ts=38000, cou=1, last_ts=39000, value=37.0, key=383}
{first_ts=37000, cou=2, last_ts=39000, value=47.0, key=155}
{first_ts=36000, cou=3, last_ts=39000, value=49.0, key=109}
{first_ts=38000, cou=1, last_ts=39000, value=40.0, key=372}
{first_ts=37000, cou=2, last_ts=39000, value=47.0, key=212}
{first_ts=37000, cou=2, last_ts=39000, value=47.0, key=180}
{first_ts=38000, cou=1, last_ts=39000, value=35.0, key=298}
{first_ts=38000, cou=1, last_ts=39000, value=41.0, key=375}
{first_ts=38000, cou=1, last_ts=39000, value=36.0, key=360}
{first_ts=38000, cou=2, last_ts=40000, value=43.0, key=276}
{first_ts=39000, cou=1, last_ts=40000, value=35.0, key=373}
{first_ts=39000, cou=1, last_ts=40000, value=46.0, key=227}
{first_ts=39000, cou=1, last_ts=40000, value=41.0, key=388}
{first_ts=39000, cou=1, last_ts=40000, value=44.0, key=283}
{first_ts=39000, cou=1, last_ts=40000, value=38.0, key=355}
{first_ts=39000, cou=1, last_ts=40000, value=35.0, key=345}
{first_ts=38000, cou=2, last_ts=40000, value=42.0, key=165}
{first_ts=39000, cou=1, last_ts=40000, value=40.0, key=265}
{first_ts=38000, cou=2, last_ts=40000, value=44.0, key=191}
{first_ts=39000, cou=1, last_ts=40000, value=41.0, key=333}
{first_ts=39000, cou=1, last_ts=40000, value=38.0, key=221}
{first_ts=38000, cou=3, last_ts=41000, value=43.0, key=196}
{first_ts=40000, cou=1, last_ts=41000, value=35.0, key=251}
{first_ts=40000, cou=1, last_ts=41000, value=38.0, key=321}
{first_ts=39000, cou=2, last_ts=41000, value=39.0, key=118}
{first_ts=40000, cou=1, last_ts=41000, value=38.0, key=433}
{first_ts=39000, cou=2, last_ts=41000, value=41.0, key=269}
{first_ts=39000, cou=2, last_ts=41000, value=41.0, key=330}
{first_ts=40000, cou=1, last_ts=41000, value=37.0, key=210}
{first_ts=39000, cou=2, last_ts=41000, value=44.0, key=247}
{first_ts=41000, cou=1, last_ts=42000, value=36.0, key=426}
{first_ts=40000, cou=2, last_ts=42000, value=44.0, key=201}
{first_ts=41000, cou=1, last_ts=42000, value=39.0, key=238}
{first_ts=41000, cou=1, last_ts=42000, value=39.0, key=222}
{first_ts=41000, cou=1, last_ts=42000, value=43.0, key=386}
{first_ts=41000, cou=1, last_ts=42000, value=34.0, key=175}
{first_ts=38000, cou=4, last_ts=42000, value=59.0, key=220}
{first_ts=41000, cou=1, last_ts=42000, value=42.0, key=346}
{first_ts=39000, cou=3, last_ts=42000, value=54.0, key=280}
{first_ts=39000, cou=3, last_ts=42000, value=50.0, key=193}
{first_ts=41000, cou=1, last_ts=42000, value=37.0, key=469}
{first_ts=39000, cou=3, last_ts=42000, value=50.0, key=135}
{first_ts=40000, cou=2, last_ts=42000, value=41.0, key=360}
{first_ts=41000, cou=1, last_ts=42000, value=40.0, key=506}
{first_ts=41000, cou=1, last_ts=42000, value=36.0, key=432}
{first_ts=42000, cou=1, last_ts=43000, value=38.0, key=161}
{first_ts=42000, cou=1, last_ts=43000, value=50.0, key=197}
{first_ts=42000, cou=1, last_ts=43000, value=40.0, key=373}
{first_ts=42000, cou=1, last_ts=43000, value=42.0, key=251}
{first_ts=41000, cou=2, last_ts=43000, value=41.0, key=178}
